id,playerName,x,y,end_x,end_y,xT_gain
2816651409,W. Dammers,39.7,75.6,4.3,0.13,-0.005
2816651449,A. Cornelius,55.5,45.2,16.2,4.05,-0.006
2816651455,V. Froholdt,46.0,26.5,27.2,0.42,-0.003
2816651481,A. Rømer,46.3,48.1,11.2,0.52,-0.005
2816651525,V. Froholdt,47.9,39.7,12.4,0.09,-0.005
2816651583,A. Cornelius,57.7,38.0,10.2,1.06,-0.0069999999999999
2816651587,M. Elyounoussi,73.3,56.6,19.0,0.34,-0.019
2816651631,D. Høegh,10.5,44.9,5.2,5.86,-0.006
2816651673,O. Olsen,14.7,41.6,30.0,5.47,-0.004
2816651789,V. Froholdt,62.2,71.1,16.5,1.8,-0.008
2816651793,M. Greve,35.6,4.3,10.8,0.43,-0.001
2816651873,V. Froholdt,45.9,89.9,12.6,4.03,-0.003
2816652347,O. Olsen,49.3,0.0,43.1,0.26,-0.001
2816652519,D. Ramaj,14.0,66.3,8.5,6.08,-0.004
2816652581,L. Lerager,21.9,63.8,17.9,2.26,-0.003
2816652761,P. Hatzidiakos,11.9,84.6,15.5,4.14,-0.001
2816652851,D. Ramaj,14.8,53.6,62.5,5.73,0.0
2816652907,R. Huescas,65.6,5.6,10.8,3.03,-0.005
2816652925,J. Larsson,58.8,8.9,10.1,1.55,-0.004
2816652955,L. Lerager,59.0,23.8,17.6,4.48,-0.0069999999999999
2816653119,N. Dyhr,46.3,100.0,12.8,4.27,-0.002
2816653191,J. Björkengren,46.6,75.1,21.1,4.02,-0.004
2816653203,D. Høegh,33.7,51.0,18.3,1.95,-0.005
2816653225,W. Dammers,27.2,76.0,6.7,0.01,-0.003
2816653263,J. Björkengren,33.8,76.4,19.2,5.92,-0.003
2816653337,S. Nordli,54.3,69.7,24.9,6.1,-0.005
2816653395,S. Odey,91.0,71.8,7.3,3.88,-0.032
2816653535,J. Björkengren,68.5,60.8,13.6,4.79,-0.012
2816653547,A. Rømer,68.7,43.3,19.8,1.55,-0.013
2816653555,J. Björkengren,69.0,72.4,18.6,0.87,-0.009
2816653591,N. Dyhr,80.2,92.7,12.5,3.72,-0.009
2816653621,J. Björkengren,69.9,82.3,10.7,5.06,-0.008
2816653639,S. Nordli,73.7,67.0,4.2,5.67,-0.017
2816653677,S. Nordli,75.5,71.4,3.0,0.0,-0.016
2816653689,Gabriel Pereira,21.8,55.4,9.2,0.95,-0.006
2816653733,L. Lerager,25.4,41.8,13.5,5.99,-0.005
2816653771,A. Cornelius,37.1,36.2,19.9,1.89,-0.003
2816653789,M. Elyounoussi,31.1,63.9,61.3,5.65,0.001
2816653839,W. Dammers,11.8,89.0,15.7,4.21,0.0
2816653869,P. Izzo,5.3,69.1,11.8,6.24,-0.004
2816653891,J. Björkengren,17.0,68.2,10.0,4.35,-0.003
2816653905,P. Izzo,12.6,50.6,11.0,4.94,-0.006
2816653951,D. Høegh,14.9,34.8,13.9,2.23,-0.003
2816654083,P. Izzo,7.2,50.9,16.2,5.16,-0.008
2816654221,D. Høegh,26.4,30.3,24.0,1.78,-0.002
2816654249,W. Dammers,27.3,53.3,17.6,4.86,-0.005
2816654319,M. López,4.0,86.0,13.5,4.61,0.0
2816654361,D. Ramaj,2.7,66.2,15.4,1.48,-0.001
2816654371,M. López,4.5,90.6,35.8,6.21,0.003
2816654441,A. Rømer,69.7,4.5,2.2,0.0,-0.007
2816654631,O. Olsen,67.9,0.0,26.3,2.63,-0.004
2816654649,D. Høegh,43.7,24.7,13.7,1.58,-0.004
2816654689,W. Dammers,43.8,42.5,9.0,4.82,-0.006
2816654725,D. Høegh,43.9,32.8,11.6,1.55,-0.004
2816654765,W. Dammers,45.5,59.7,17.3,4.6,-0.004
2816654799,D. Høegh,43.6,33.1,17.5,4.88,-0.004
2816654823,A. Rømer,46.7,13.8,14.0,2.2,-0.004
2816654843,D. Høegh,40.8,33.0,18.4,1.83,-0.003
2816654867,W. Dammers,36.4,52.5,41.8,5.39,-0.003
2816654883,O. Olsen,61.3,4.6,17.0,0.23,-0.004
2816654953,O. Olsen,80.4,0.0,9.0,1.39,-0.009
2816654961,M. Greve,81.9,11.1,4.2,4.74,-0.012
2816654969,O. Olsen,82.0,4.9,6.5,0.0,-0.009
2816655003,M. Greve,88.2,4.9,4.4,3.43,-0.01
2816655015,O. Olsen,84.2,2.6,13.0,0.8,-0.008
2816655363,O. Olsen,72.2,0.0,17.8,2.76,-0.006
2816655373,D. Høegh,56.5,7.7,28.3,1.96,-0.002
2816655377,W. Dammers,46.1,50.7,7.5,0.41,-0.006
2816655387,J. Björkengren,52.5,54.8,14.8,3.2,-0.006
2816655439,W. Dammers,37.2,42.1,41.6,5.62,-0.003
2816655451,O. Olsen,68.3,4.3,15.0,1.18,-0.005
2816655497,M. Greve,73.7,24.7,12.3,1.17,-0.014
2816655511,N. Campbell,78.3,41.3,4.8,4.05,-0.03
2816655537,S. Nordli,75.5,35.7,23.7,6.11,-0.017
2816655539,O. Olsen,97.7,29.8,2.9,1.86,-0.044
2816655661,R. Huescas,8.2,7.3,45.7,0.33,0.002
2816655725,W. Dammers,52.3,68.2,11.5,0.43,-0.005
2816655769,A. Rømer,66.7,75.3,15.3,0.65,-0.009
2816655835,N. Dyhr,81.7,92.1,11.4,3.81,-0.01
2816655873,S. Nordli,79.1,86.2,6.2,1.19,-0.013
2816655933,N. Dyhr,81.3,94.7,12.3,4.67,-0.008
2816656525,S. Nordli,99.5,99.5,27.9,4.61,-0.018
2816656573,N. Campbell,87.6,80.5,18.8,5.15,-0.022
2816656885,N. Dyhr,86.1,100.0,17.7,4.77,-0.008
2816657555,D. Ramaj,10.9,35.0,59.9,6.14,0.0
2816657573,A. Cornelius,67.4,22.6,32.1,0.53,-0.007
2816659201,M. Elyounoussi,63.7,41.9,18.3,3.01,-0.009
2816657617,L. Lerager,45.5,58.8,22.2,2.43,-0.005
2816657673,M. López,29.5,80.1,19.3,0.26,-0.002
2816657907,O. Olsen,42.0,13.9,13.9,2.69,-0.003
2816660399,A. Rømer,29.2,13.5,14.1,2.03,-0.001
2816657935,D. Høegh,31.2,42.4,12.8,1.54,-0.005
2816657977,W. Dammers,31.6,60.8,15.4,4.58,-0.003
2816658021,D. Høegh,32.0,44.6,22.1,4.86,-0.005
2816658097,A. Rømer,36.3,11.7,21.7,1.88,-0.002
2816658133,D. Høegh,32.4,45.8,13.5,1.9,-0.005
2816658197,W. Dammers,28.4,64.6,27.2,0.9,-0.002
2816658223,S. Nordli,45.6,95.3,10.5,0.02,-0.002
2816658265,Gabriel Pereira,33.5,20.8,14.7,5.4,-0.002
2816658281,R. Huescas,42.4,4.1,18.3,1.38,-0.002
2816658301,L. Lerager,45.7,30.5,28.6,5.68,-0.003
2816658379,W. Dammers,37.4,70.8,5.7,5.38,-0.004
2816658427,A. Rømer,40.8,64.2,6.1,2.24,-0.004
2816658461,W. Dammers,35.8,64.5,17.4,4.37,-0.003
2816658505,D. Høegh,32.7,36.4,17.9,0.81,-0.003
2816658543,J. Björkengren,44.2,53.0,16.0,4.02,-0.005
2816658583,D. Høegh,34.7,33.9,46.4,6.04,0.0
2816658637,O. Olsen,69.5,15.2,8.0,0.48,-0.009
2816658651,M. López,23.0,71.7,9.2,5.6,-0.003
2816658671,V. Froholdt,28.6,60.5,22.3,5.2,-0.003
2816658697,J. Björkengren,61.0,65.5,6.9,5.78,-0.008
2816658711,S. Odey,66.8,60.6,4.2,0.14,-0.014
2816658813,M. Greve,57.5,70.6,15.4,1.21,-0.0069999999999999
2816658827,N. Dyhr,62.7,92.1,8.0,4.28,-0.006
2816658849,J. Björkengren,59.5,81.5,16.9,5.49,-0.005
2816658855,S. Nordli,70.8,63.9,5.1,1.53,-0.013
2816658885,M. Greve,71.0,71.4,20.4,0.66,-0.009
2816658897,N. Dyhr,87.4,93.2,2.8,4.86,-0.013
2816659247,D. Ramaj,15.2,66.0,64.0,6.25,0.002
2816659301,A. Cornelius,71.1,63.5,12.6,1.95,-0.012
2816659319,E. Achouri,75.5,70.4,14.9,4.78,-0.015
2816659385,S. Nordli,30.8,51.0,50.8,5.71,-0.002
2816659443,P. Hatzidiakos,22.9,93.3,22.6,4.12,0.0
2816659679,D. Ramaj,11.8,63.0,37.2,5.14,-0.003
2816659697,R. Huescas,58.1,5.9,31.4,2.57,-0.003
2816659755,Gabriel Pereira,33.0,31.1,17.1,5.45,-0.003
2816659833,R. Huescas,43.8,13.3,28.7,1.93,-0.003
2816659891,P. Hatzidiakos,44.6,50.6,17.0,4.77,-0.005
2816659933,Gabriel Pereira,45.5,25.6,17.1,5.38,-0.004
2816659939,R. Huescas,55.6,5.9,11.8,1.04,-0.003
2816659993,L. Lerager,61.3,20.8,8.8,5.41,-0.006
2816660013,J. Larsson,66.7,10.9,8.3,5.63,-0.007
2816660051,V. Froholdt,73.0,3.5,12.9,3.0,-0.006
2816660083,L. Lerager,60.8,6.2,11.5,0.71,-0.004
2816660089,J. Larsson,69.1,16.9,13.9,3.71,-0.008
2816660185,L. Lerager,57.0,5.6,23.3,2.13,-0.003
2816660219,Gabriel Pereira,46.6,41.2,20.7,1.5,-0.005
2816660331,P. Hatzidiakos,47.9,71.6,30.0,6.26,-0.003
2816660359,M. Elyounoussi,88.9,96.8,19.1,4.02,-0.008
2816660383,E. Achouri,77.3,75.2,9.6,4.68,-0.0199999999999999
2816660401,J. Larsson,77.0,61.1,17.6,0.48,-0.024
2816660427,E. Achouri,91.8,73.1,11.9,4.54,-0.031
2816660453,A. Cornelius,91.7,56.6,6.8,3.31,-0.142
2816661401,S. Nordli,50.1,49.7,17.8,3.49,-0.005
2816661745,O. Olsen,82.2,0.0,13.6,0.54,-0.008
2816661781,N. Campbell,93.3,8.8,8.1,3.47,-0.016
2816661807,O. Olsen,87.6,12.2,12.0,1.66,-0.017
2816661955,Gabriel Pereira,5.5,29.0,21.3,5.41,-0.002
2816661977,R. Huescas,9.3,8.6,8.1,1.25,-0.001
2816662051,V. Froholdt,38.6,6.2,13.9,3.19,-0.003
2816662053,R. Huescas,25.7,5.2,2.7,1.57,-0.003
2816662173,R. Huescas,25.8,0.0,11.4,2.4,-0.001
2816662217,Gabriel Pereira,17.8,10.4,22.7,1.89,0.0
2816662255,D. Ramaj,12.5,44.8,16.5,1.63,-0.005
2816662359,P. Hatzidiakos,11.5,69.0,26.4,6.24,-0.003
2816662379,E. Achouri,43.8,61.4,24.9,6.08,-0.003
2816662459,A. Cornelius,67.0,53.9,32.6,0.69,-0.012
2816662507,M. Elyounoussi,94.9,77.7,11.3,3.72,-0.023
2816662563,A. Rømer,10.6,34.6,5.2,5.91,-0.004
2816670149,M. Elyounoussi,50.1,49.7,26.5,3.07,-0.004
2816670201,D. Ramaj,25.2,49.7,70.5,5.77,0.001
2816670371,N. Dyhr,17.8,100.0,16.4,4.2,0.0
2816670423,W. Dammers,12.3,81.5,63.1,0.21,0.004
2816670715,R. Huescas,30.1,0.0,12.0,1.27,-0.001
2816670727,V. Froholdt,33.5,16.1,8.3,3.9,-0.003
2816670743,R. Huescas,27.8,7.7,35.8,2.28,0.0
2816670777,D. Ramaj,5.6,47.6,19.8,0.71,-0.008
2816670793,M. López,19.9,66.5,19.1,3.77,-0.003
2816670833,D. Ramaj,5.2,50.0,51.1,0.62,-0.005
2816670841,E. Achouri,44.8,93.8,19.9,5.64,-0.003
2816670861,D. Høegh,41.0,30.0,10.3,1.0,-0.003
2816670873,J. Björkengren,46.3,42.8,20.9,2.28,-0.005
2816670895,W. Dammers,31.6,68.2,21.8,0.96,-0.003
2816670917,N. Dyhr,43.5,94.7,12.5,4.0,-0.002
2816670957,W. Dammers,36.4,78.8,56.1,5.13,0.001
2816670963,O. Olsen,58.0,3.5,6.0,0.17,-0.005
2816671027,O. Olsen,67.7,4.1,7.9,0.15,-0.006
2816671087,M. López,24.5,93.2,9.9,5.06,-0.001
2816671129,L. Lerager,27.7,79.5,19.6,2.98,-0.002
2816671171,P. Hatzidiakos,9.3,84.2,37.5,0.21,0.0
2816671175,M. Elyounoussi,38.3,94.1,4.7,4.6,-0.005
2816671229,M. López,6.9,92.7,20.4,6.12,0.0
2816671411,M. López,23.0,100.0,21.9,5.4,0.0
2816671433,A. Rømer,58.7,12.2,6.4,1.2,-0.005
2816671461,J. Björkengren,61.5,22.7,19.6,2.67,-0.005
2816671507,W. Dammers,44.8,39.8,14.0,4.83,-0.004
2816671547,D. Høegh,45.0,21.9,22.6,2.08,-0.004
2816671587,W. Dammers,37.0,58.4,24.6,5.05,-0.004
2816671623,D. Høegh,51.6,17.6,10.2,0.52,-0.004
2816671625,S. Odey,60.0,25.0,7.1,3.05,-0.008
2816671653,A. Rømer,51.3,26.2,6.7,6.12,-0.004
2816671683,S. Odey,62.7,39.1,30.0,1.41,-0.008
2816671767,N. Dyhr,67.4,82.7,19.3,0.02,-0.008
2816671799,N. Campbell,90.5,87.8,14.6,5.22,-0.018
2816671805,N. Dyhr,97.7,69.0,1.1,4.13,-0.044
2816672399,S. Nordli,99.5,99.2,31.1,4.46,-0.018
2816672651,R. Huescas,34.5,0.0,27.8,2.78,0.0
2816672673,Gabriel Pereira,9.7,13.4,12.1,5.88,-0.001
2816672681,R. Huescas,16.6,7.9,11.5,2.94,0.0
2816672709,Gabriel Pereira,5.9,11.3,35.8,0.11,0.001
2816672741,W. Dammers,52.3,80.5,8.9,0.65,-0.005
2816672749,J. Björkengren,59.1,88.6,7.2,6.11,-0.004
2816672941,N. Dyhr,64.8,100.0,21.5,5.89,-0.005
2816672953,S. Odey,83.7,90.9,8.9,2.51,-0.011
2816672959,N. Dyhr,76.5,94.0,2.0,2.42,-0.011
